makeid,modelid,manufacturerid,vin,batteryinfo,batterytype,bedtype,bodycabtype,bodyclass,enginecylinders,destinationmarket,displacementcc,displacementci,displacementl,doors,drivetype,driverassist,enginecycles,enginemodel,enginekw,entertainmentsystem,fueltypeprimary,gvwr,make,manufacturer,model,modelyear,plantcity,seats,series,steeringlocation,transmissionstyle,trim,vehicletype,windows,axles,brakesystemtype,batterycells,bedlengthin,brakesystemdesc,curbweightlb,airbagloccurtain,airbaglocseatcushion,batterya,batteryv,batterykwh,wheelbasetype,seatrows,valvetraindesign,transmissionspeeds,engineconfiguration,airbaglocfront,fueltypesecondary,fuelinjectiontype,airbaglocknee,enginehp,evdriveunit,plantcountry,plantcompanyname,plantstate,pretensioner,seatbeltsall,adaptivecruisecontrol,adaptiveheadlights,abs,cib,blindspotmon,ncsabodytype,ncsamake,ncsamodel,esc,tractioncontrol,forwardcollisionwarning,lanedeparturewarning,lanekeepsystem,rearvisibilitysystem,parkassist,airbaglocside,trim2,series2,wheelbaseshort,wheelbaselong,note,wheels,trailertype,trailerbodytype,trailerlength,wheelsizefront,wheelsizerear,otherrestraintsysteminfo,coolingtype,enginehp_to,electrificationlevel,chargerlevel,chargerpowerkw,otherengineinfo,batterya_to,batteryv_to,batterykwh_to,turbo,baseprice,batterymodules,batterypacks,topspeedmph,suggestedvin,errorcode,possiblevalues,axleconfiguration,enginemanufacturer,buslength,busfloorconfigtype,bustype,otherbusinfo,custommotorcycletype,motorcyclesuspensiontype,motorcyclechassistype,othermotorcycleinfo,othertrailerinfo,additionalerrortext,cashforclunkers,trackwidth,tpms,activesafetysysnote,dynamicbrakesupport,pedestrianautomaticemergencybraking,autoreversesystem,automaticpedestrianalertingsound,can_aacn,edr,keylessignition,daytimerunninglight,lowerbeamheadlamplightsource,semiautomaticheadlampbeamswitching,adaptivedrivingbeam,saeautomationlevel,saeautomationlevel_to,rearcrosstrafficalert,gcwr,gcwr_to,ncsanote,ncsamappingexception,ncsamapexcapprovedon,ncsamapexcapprovedby,gvwr_to,errortext,rearautomaticemergencybraking,blindspotintervention,lanecenteringassistance,nonlanduse,vehicledescriptor,fueltanktype,fueltankmaterial,combinedbrakingsystem,wheeliemitigation
452,1711,966,WBAVB73517F740077,,,Not Applicable,Not Applicable,Sedan/Saloon,6,,2979.1682352,181.8,3.0,4,,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",BMW,BMW AG,335i,2007,MUNICH,,3-Series,,,,PASSENGER CAR,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,300,,GERMANY,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,"Dual-stage suppl. restraint system (SRS) certified to the advanced airbag requiremnets of FMVSS 208, S14.",,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WBAVB735*7F,,,,
582,3862,1149,WA1WKBFP1AA487803,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,3197,195.092909870,3.197000,4,,,,,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",AUDI,AUDI AG,Q5,2010,INGOLSTADT,,Prestige w/S-Line Pkg.,,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,1st and 2nd Rows,,,,,,,,,,1st Row (Driver and Passenger),,,,270,,GERMANY,,,,Manual,,,,,,,,,,,,,,,,All Rows,,,,,,,Not Applicable,Not Applicable,,,,"Active Seat Belt, Advanced Front AirBag",,,,,,50-St/Can. BIN 5 / LEV II emission std. Emissions Certification Test Group: AADXJ03.23UC.,,,,,,,,,,0,,,Audi,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WA1WKBFP*AA,,,,
452,1709,966,WBAWV13559P729010,,,Not Applicable,Not Applicable,Coupe,6,,2995.5552992,182.8,3.0,2,,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",BMW,BMW AG,328i,2009,REGENSBURG,,3-Series,,,SULEV,PASSENGER CAR,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,230,,GERMANY,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,"Dual-stage suppl. restraint system (SRS) certified to the advanced airbag requiremnets of FMVSS 208, S14.",,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WBAWV135*9P,,,,
476,1897,994,1B3AZ6EZXAV315625,,,Not Applicable,Not Applicable,Convertible/Cabriolet,10,"U.S., Canada, Mexico, Other Export Market (BUX)",8400.0,512.59945039575,8.4,2,RWD/Rear-Wheel Drive,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",DODGE,FCA US LLC,Viper,2010,DETROIT,,ZB,Left-Hand Drive (LHD),,SRT-10,PASSENGER CAR,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,UNITED STATES (USA),Conner Avenue Assembly,MICHIGAN,Yes,Manual,,,,,,,,,,,,,,,,,S (Sport),,,,,,Not Applicable,Not Applicable,,,,Active Seatbelts for all seating positions.,,,,,,"Sales Code for Engine - EWE,EWF",,,,No,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,1B3AZ6EZ*AV,,,,
460,1818,976,1FBSS3BL2AD636670,,,Not Applicable,Not Applicable,Van,8,,5400.0,329.52821811155,5.4,,4x2,,,Ford,,,Gasoline,"Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)",FORD,FORD MOTOR COMPANY,E-350,2010,AVON LAKE,,Econoline,,,,BUS,,,Hydraulic,,,,,,,,,,,,,,V-Shaped,1st Row (Driver and Passenger),,,,255,,UNITED STATES (USA),Ohio Assembly Plant,OHIO,,Manual,,,,,,,,,,,,,,,,,,Extended Wagon,,,,,Not Applicable,Not Applicable,,,,,,,,,,Displacement is 5.4L 2V,,,,,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Not Applicable,,,"The Model Year decoded for this VIN may be incorrect. If you know the Model year, please enter it and decode again to get more accurate information.",,,,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,1FBSS3BL*AD,,,,
478,1920,997,1N6AA0EJ2FN794320,,,Standard,Crew/Super Crew/Crew Max,Pickup,,,5600.0,341.73296693050,5.6,,4WD/4-Wheel Drive/4x4,,,,,,Gasoline,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",NISSAN,"NISSAN NORTH AMERICA, INC.",Titan,2015,CANTON,,,,,,TRUCK,,,,,,,,1st and 2nd Rows,,,,,,,,,,1st Row (Driver and Passenger),,,,,,UNITED STATES (USA),Nissan North America Inc.,MISSISSIPPI,,Manual,,,Standard,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,Position 6 is Model Change Number Code.,,Not Applicable,Not Applicable,,,,1st row with 3-point manual seat belts.   1st row center 2-point manual lap belts.  2nd row outboard with 3-point manual seat belts.   2nd row center with 3-point manual belts,,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,1N6AA0EJ*FN,,,,
584,7847,13510,WP0CA2A88EK606734,,,Not Applicable,Not Applicable,Convertible/Cabriolet,6,,2700.0,164.76410905577,2.7,2,,,,,,,Gasoline,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",PORSCHE,DR. ING. H.C.F. PORSCHE AG,Boxster,2014,OSNABRUEK,,,,,,PASSENGER CAR,,,,,,,,,,,,,,,,,,,,,,265.00,,GERMANY,Osnabruek,,,,,,,,,,,,,,,,,,,,,Type 981,,,"GVWR: 3,627 / 3,693 lbs.",,Not Applicable,Not Applicable,,,,"Restraint System: Passive  ",,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WP0CA2A8*EK,,,,
468,1842,984,KL4CJFSBXEB474071,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,1400.0,85.43324173262,1.4,4,AWD/All-Wheel Drive,,,LUV,,,Gasoline,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",BUICK,GENERAL MOTORS LLC,Encore,2014,BUPYEONG,,,,,Convenience,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,All Rows,,,,,,,Dual Overhead Cam (DOHC),,In-Line,1st Row (Driver and Passenger),Ethanol (E85),Multipoint Fuel Injection (MPFI),1st Row (Driver and Passenger),,,SOUTH KOREA,GM Korea,,,Manual,,,,,,,,,,,,,,,,1st and 2nd Rows,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,"Engine Gas, TURBO HO, E85 Max   ",,,,Yes,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,KL4CJFSB*EB,,,,
582,3676,1149,WAUKF98P99A451350,,,Not Applicable,Not Applicable,Wagon,4,,1984,121.071108283,1.984000,4,AWD/All-Wheel Drive,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",AUDI,AUDI AG,A3,2009,INGOLSTADT,,quattro,,,,PASSENGER CAR,,,,,,,,1st and 2nd Rows,,,,,,,,,,1st Row (Driver and Passenger),,,,200.00,,GERMANY,,,,Manual,,,,,,,,,,,,,,,,All Rows,,,,,,,Not Applicable,Not Applicable,,,,"Advanced Front AirBag, Active Seat Belt, Advanced Front AirBag",,,,,,50-St/Can. BIN 5 / ULEV II emission std.  Emissions Certification Test Group: 9ADXV02.03UA,,,,,,,,,,0,,,Audi,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WAUKF98P*9A,,,,
582,3679,1149,WA1WMAFE8CD068254,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,2967,181.057448729,2.967000,4,,,,,,,Diesel,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",AUDI,AUDI AG,Q7,2012,BRATISLAVA,,TDI Prestige w/S-Line Pkg.,,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,1st and 2nd Rows,,,,,,,,,,1st Row (Driver and Passenger),,,,225,,SLOVAKIA,,,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,"Active Seat Belt, Advanced Front AirBag",,,,,,50-St/Can. BIN 5 / ULEV II emission std. Emissions Certification Test Group: CADXT03.03UG.,,,,,,,,,,0,,,Audi,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WA1WMAFE*CD,,,,
476,1938,1002,3C63DPHL1CG438378,,,Long,Crew/Super Crew/Crew Max,Pickup,8,,6700.0,408.85908543470,6.7,,4x2,,,,,,Diesel,"Class 3: 10,001 - 14,000 lb (4,536 - 6,350 kg)",DODGE,CHRYSLER DE MEXICO TOLUCA,Ram,2012,SALTILLO,,,Left-Hand Drive (LHD),,3500-SLT,TRUCK,,,Hydraulic,,,,,,,,,,,,,,,,,,,,,MEXICO,Saltillo Assembly,COAHUILA,,Manual,,,,,,,,,,,,,,,,,,,,,Drive Type: Dual Rear Wheels,,Not Applicable,Not Applicable,,,,Active Seat Belt,,,,,,Sales Code: ETJ,,,,Yes,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,"The Model Year decoded for this VIN may be incorrect. If you know the Model year, please enter it and decode again to get more accurate information.",,,,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,3C63DPHL*CG,,,,
449,2678,1042,WDDEJ7HB6AA728862,,,Not Applicable,Not Applicable,Coupe,8,,6200.0,378.34721338734,6.2,2,,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",MERCEDES-BENZ,MERCEDES-BENZ CARS,CL-Class,2010,SINDELFINGEN,,CL63,,,AMG,PASSENGER CAR,,,,,,,,,,,,,,,,,V-Shaped,1st Row (Driver and Passenger),,,,,,GERMANY,,,Yes,Manual,,,,,,,,,,,,,,,,1st and 2nd Rows,,,,,Some of the decoding information provided may vary for non-U.S. market vehicles.,,Not Applicable,Not Applicable,,,,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WDDEJ7HB*AA,,,,
468,1841,984,5GAKVDKD1DJ699058,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,3600.0,219.68547874103,3.6,4,AWD/All-Wheel Drive,,,LLT,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",BUICK,GENERAL MOTORS LLC,Enclave,2013,LANSING - DELTA TOWNSHIP,,,,,Premium,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,Dual Overhead Cam (DOHC),,V-Shaped,1st Row (Driver and Passenger),,Stoichiometric Gasoline Direct Injection (SGDI),,,,UNITED STATES (USA),GMNA,MICHIGAN,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,Front Inboard Seat Side Airbag - Roof Side Airbag (all rows),,,,,,,,,,,,,,,,0,,,GM,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,5GAKVDKD*DJ,,,,
469,1825,984,1G6DM1E38C0022138,,,Not Applicable,Not Applicable,Coupe,6,,3600.0,219.68547874103,3.6,2,AWD/All-Wheel Drive,,,LFX,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",CADILLAC,GENERAL MOTORS LLC,CTS,2012,LANSING - GRAND RIVER,,,,,Performance,PASSENGER CAR,,,,,,,,All Rows,,,,,,,Dual Overhead Cam (DOHC),,,1st Row (Driver and Passenger),Ethanol (E85),Stoichiometric Gasoline Direct Injection (SGDI),,,,UNITED STATES (USA),GMNA,MICHIGAN,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),w/ Navigation,,,,"Body type: 2Dr Coupe, Notchback Special  ",,Not Applicable,Not Applicable,,,,,,,,,,"Book Codes: 0G, BE, A. VVT, E85 Max, Aluminum.",,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,1G6DM1E3*C0,,,,
582,3148,1149,WAUEL94F35N465900,,,Not Applicable,Not Applicable,Wagon,8,,4163,254.041846666,4.163000,4,AWD/All-Wheel Drive,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",AUDI,AUDI AG,A6,2005,NECKARSULM,,quattro S-Line,,,,PASSENGER CAR,,,,,,,,1st and 2nd Rows,,,,,,,,,,1st Row (Driver and Passenger),,,,345.00,,GERMANY,,,,Manual,,,,,,,,,,,,,,,,1st and 2nd Rows,,,,,,,Not Applicable,Not Applicable,,,,"Advanced Front AirBag, Active Seat Belt.",,,,,,50-St/Can. BIN 9 / LEV emission std.  Emissions Certification Test Group: 5ADXV04.2345,,,,,,,,,,0,,,Audi,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WAUEL94F*5N,,,,
469,1824,984,1G6AB1R38F0032921,,,Not Applicable,Not Applicable,Coupe,6,,3600.0,219.68547874103,3.6,2,RWD/Rear-Wheel Drive,,,LFX,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",CADILLAC,GENERAL MOTORS LLC,ATS,2015,LANSING - GRAND RIVER,,,,,Luxury,PASSENGER CAR,,,,,,,,All Rows,,,,,,,Dual Overhead Cam (DOHC),,,1st Row (Driver and Passenger),Ethanol (E85),Stoichiometric Gasoline Direct Injection (SGDI),1st Row (Driver and Passenger),,,UNITED STATES (USA),GMNA,MICHIGAN,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,,,,,,,"Book Codes: 0G, BE, A. VVT, E85 Max, Aluminum.",,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,1G6AB1R3*F0,,,,
452,2763,966,WBABS53413J345290,,,Not Applicable,Not Applicable,Convertible/Cabriolet,6,,,,,2,,,,,,,Gasoline,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",BMW,BMW AG,330Ci,2003,REGENSBURG,,3-Series,,,,PASSENGER CAR,,,,,,,,,,,,,,,,,,,,,,225,,GERMANY,,,,,,,,,,,,,,,,,,,,,,,107.3,,"Model Code: 0346,Shipping Weight   Std.=3616  Auto.=3704 ,GVWR   Std. = 4497  ,Auto. = 4575 GAWRRear = 2579 ,Service Load = 882 ,Length w/ bumpers = 176.7 ,Width = 69.2 ,Height = 54 ,Track Front = 57.9 ,Track Rear = 58.4  ",,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WBABS534*3J,,,,
464,1814,976,5LMJJ3H50DE344769,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),8,,5400.0,329.52821811155,5.4,4,4x2,,,,,,Gasoline,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",LINCOLN,FORD MOTOR COMPANY,Navigator,2013,JEFFERSON COUNTY,,,,,L,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,Single Overhead Cam (SOHC),,V-Shaped,1st Row (Driver and Passenger),Flexible Fuel Vehicle (FFV),,,310,,UNITED STATES (USA),Kentucky Truck,KENTUCKY,,Manual,,,,,,,,,,,,,,,,1st and 2nd and 3rd Rows,,,,,,,Not Applicable,Not Applicable,,,,,,320,,,,3V,,,,,,,,,,0,,,Ford,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,5LMJJ3H5*DE,,,,
468,1822,984,2G4GR5ER0D9624168,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,2400.0,146.45698582735,2.4,4,,,,"LUK - BAS, Ecotec, Aluminum",,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",BUICK,GENERAL MOTORS LLC,Regal,2013,OSHAWA #1 (OSH),,,,,Leather,PASSENGER CAR,4,,,,,,,All Rows,,,,,,,Dual Overhead Cam (DOHC),,,1st Row (Driver and Passenger),,Stoichiometric Gasoline Direct Injection (SGDI),,,,CANADA,GMNA,ONTARIO,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,2G4GR5ER*D9,,,,
476,1941,994,1D7RE3GKXBS182594,,,,Crew/Super Crew/Crew Max,Pickup,6,"U.S., Canada, Mexico, Other Export Market (BUX)",3700.0,225.78785315050,3.7,,4WD/4-Wheel Drive/4x4,,,,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",DODGE,FCA US LLC,Dakota,2011,WARREN,,ND,,,SXT/SLT,TRUCK,,,Hydraulic,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,UNITED STATES (USA),Warren Truck Assembly,MICHIGAN,Yes,Manual,,,,,,,,,,,,,,,,All Rows,M (Medium),,,,,,Not Applicable,Not Applicable,,,,,,,,,,Sales Code for Engine - EKG. Sales Code for CNG Engine - EKH,,,,No,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,"The Model Year decoded for this VIN may be incorrect. If you know the Model year, please enter it and decode again to get more accurate information.",,,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,1D7RE3GK*BS,,,,
475,5168,987,JH4NA21661T187583,,,Not Applicable,Not Applicable,Coupe,6,,3179.090416,194,3.179090416,2,,,,C32B1,,,Gasoline,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",ACURA,"HONDA MOTOR CO., LTD.",NSX,2001,TAKANEZAWA,,,,Manual/Standard,NSX-T,PASSENGER CAR,,,,,,,,,,,,,,,Single Overhead Cam (SOHC),6,V-Shaped,1st Row (Driver and Passenger),,,,290,,JAPAN,,TOCHIGI,,Manual,,,,,,,,,,,,,,,,,,,,,Body Type: Open Top Coupe,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,JH4NA216*1T,,,,
469,1843,984,3GYT4MEF4CG082475,,,,,Sport Utility Truck (SUT),8,,6200.0,378.34721338734,6.2,4,4WD/4-Wheel Drive/4x4,,,"L94 - Flex Fuel(Gas/ALC), ALUM Cylinder Deactivation",,,Gasoline,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",CADILLAC,GENERAL MOTORS LLC,Escalade,2012,SILAO,,,,,EXT Luxury,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,All Rows,,,,,,,,,,1st Row (Driver and Passenger),Ethanol (E85),Sequential Fuel Injection (SFI),,,,MEXICO,GMNA,GUANAJUATO,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,3GYT4MEF*CG,,,,
452,1709,966,WBADW3C56CE093166,,,Not Applicable,Not Applicable,Convertible/Cabriolet,6,,2995.5552992,182.8,3.0,2,,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",BMW,BMW AG,328i,2012,REGENSBURG,,3-Series,,,,PASSENGER CAR,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,230,,GERMANY,,,Yes,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,Head Inflatable Restraint for Driver and Front Passenger.  Knee Inflatable Restraint for Driver and Front Passenger.  Pretensioners for Driver and Front Passenger.,,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WBADW3C5*CE,,,,
452,2587,966,WBANF33566B136110,,,Not Applicable,Not Applicable,Sedan/Saloon,6,,3000,182.8,3,4,,,,,,,Gasoline,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",BMW,BMW AG,525xi,2006,DINGOLFING,,5-Series,,,,PASSENGER CAR,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,210,,GERMANY,,,,Manual,,,,,,,,,,,,,,,,,,,113.7,,"BMW NA Code 0657  Serial Number Ranges : Manual B999000-, Automatic CB86000-,CS34000-  Shipping Weight   Std.=3593  SMG=NA  Auto.=3638   GAWR Front = 2315 ,Rear = 2646 ,Service Load = 1102  GVWR   Std. = 4696  ,SMG = -  ,Auto. = 4740  Length w/ bumpers = 191.1 ,Width = 72.7 ,Height = 58.3 ,Track Front = 61.3 ,Track Rear = 62.3        ",,Not Applicable,Not Applicable,,,,"Dual-stage suppl. restraint system (SRS) certified to the advanced airbag requiremnets of FMVSS 208, S14.",,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WBANF335*6B,,,,
582,3862,1149,WA1DGAFP0FA003632,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,4,,,,,,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",AUDI,AUDI AG,Q5,2015,INGOLSTADT,,3.0T Premium Plus S Line,,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,All Rows,,,,,,,,,,1st Row (Driver and Passenger),,,,,,GERMANY,,,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,"Restraint System: Side AirBags - Front, Advanced Front AirBags",,,,,,,,,,,,,,,,0,,,Audi,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WA1DGAFP*FA,,,,
